exp,peers,nlr,failures,StrgglerCnt,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size
0000,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,5000,19,false,585,49152,external,32,8192
0001,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,5000,19,false,585,49152,external,32,8192
0002,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,5000,19,false,585,49152,external,32,8192
0003,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,5000,19,false,585,49152,external,32,8192
0004,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,5000,19,false,585,49152,external,32,8192
0005,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,10000,39,false,1171,49152,external,32,8192
0006,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,10000,39,false,1171,49152,external,32,8192
0007,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,10000,39,false,1171,49152,external,32,8192
0008,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,10000,39,false,1171,49152,external,32,8192
0009,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,10000,39,false,1171,49152,external,32,8192
0010,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,15000,58,false,1757,49152,external,32,8192
0011,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,15000,58,false,1757,49152,external,32,8192
0012,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,15000,58,false,1757,49152,external,32,8192
0013,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,15000,58,false,1757,49152,external,32,8192
0014,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,15000,58,false,1757,49152,external,32,8192
0015,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,20000,78,false,2343,49152,external,32,8192
0016,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,20000,78,false,2343,49152,external,32,8192
0017,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,20000,78,false,2343,49152,external,32,8192
0018,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,20000,78,false,2343,49152,external,32,8192
0019,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,20000,78,false,2343,49152,external,32,8192
0020,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,25000,97,false,2929,49152,external,32,8192
0021,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,25000,97,false,2929,49152,external,32,8192
0022,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,25000,97,false,2929,49152,external,32,8192
0023,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,25000,97,false,2929,49152,external,32,8192
0024,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,25000,97,false,2929,49152,external,32,8192
0025,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,30000,117,false,3515,49152,external,32,8192
0026,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,30000,117,false,3515,49152,external,32,8192
0027,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,30000,117,false,3515,49152,external,32,8192
0028,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,30000,117,false,3515,49152,external,32,8192
0029,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,30000,117,false,3515,49152,external,32,8192
0030,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,35000,136,false,4101,49152,external,32,8192
0031,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,35000,136,false,4101,49152,external,32,8192
0032,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,35000,136,false,4101,49152,external,32,8192
0033,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,35000,136,false,4101,49152,external,32,8192
0034,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,128,Simple,2048,4096,1000,32,4,256,16,true,false,131072000,35000,136,false,4101,49152,external,32,8192
