exp,peers,nlr,failures,numStraggler,numPrivCnt,UseSig,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size
0000,4,1,0,1,10,false,Straggler,60000,1,1gbit,4,Pbft,1,2,2,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,128,64,false,1920,2097152,external,32,8192
0001,4,1,0,1,10,false,Straggler,60000,1,1gbit,4,Pbft,1,2,2,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,256,128,false,3840,2097152,external,32,8192
0002,4,1,0,1,10,false,Straggler,60000,1,1gbit,4,Pbft,1,2,2,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,512,256,false,7680,2097152,external,32,8192
0003,4,1,0,1,10,false,Straggler,60000,1,1gbit,4,Pbft,1,2,2,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,1024,512,false,15360,2097152,external,32,8192
0004,4,1,0,1,10,false,Straggler,60000,1,1gbit,4,Pbft,1,2,2,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,2048,1024,false,30720,2097152,external,32,8192
0005,4,1,0,1,10,false,Straggler,60000,1,1gbit,4,Pbft,1,2,2,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,4096,2048,false,61440,2097152,external,32,8192
0006,4,1,0,1,10,false,Straggler,60000,1,1gbit,4,Pbft,1,2,2,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,8192,4096,false,122880,2097152,external,32,8192
0007,4,1,0,1,10,false,Straggler,60000,1,1gbit,4,Pbft,1,2,2,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,12288,6144,false,184320,2097152,external,32,8192
