16:40:05.311 INF Connecting to orderer. addrStr=54.253.220.153:10165 peerId=15
16:40:05.336 INF Connecting to orderer. addrStr=18.183.223.241:10121 peerId=11
16:40:05.336 INF Connecting to orderer. addrStr=3.106.55.208:10154 peerId=14
16:40:05.336 INF Connecting to orderer. addrStr=18.188.107.174:10000 peerId=0
16:40:05.338 INF Connecting to orderer. addrStr=13.54.137.201:10132 peerId=12
16:40:05.338 INF Connecting to orderer. addrStr=13.38.30.21:10066 peerId=6
16:40:05.338 INF Connecting to orderer. addrStr=3.141.199.225:10011 peerId=1
16:40:05.338 INF Connecting to orderer. addrStr=15.237.117.251:10077 peerId=7
16:40:05.338 INF Connecting to orderer. addrStr=3.21.44.62:10022 peerId=2
16:40:05.338 INF Connecting to orderer. addrStr=13.239.64.168:10143 peerId=13
16:40:05.338 INF Connecting to orderer. addrStr=43.206.226.31:10088 peerId=8
16:40:05.338 INF Connecting to orderer. addrStr=176.32.64.207:10099 peerId=9
16:40:05.338 INF Connecting to orderer. addrStr=176.32.78.86:10110 peerId=10
16:40:05.339 INF Connecting to orderer. addrStr=35.180.203.157:10055 peerId=5
16:40:05.339 INF Connecting to orderer. addrStr=18.189.188.7:10033 peerId=3
16:40:05.357 INF Connecting to orderer. addrStr=13.39.104.42:10044 peerId=4
16:40:05.359 INF Connected to orderer. addrStr=54.253.220.153:10165 id=15
16:40:05.360 INF Connected to orderer. addrStr=13.54.137.201:10132 id=12
16:40:05.361 INF Connected to orderer. addrStr=3.106.55.208:10154 id=14
16:40:05.362 INF Connected to orderer. addrStr=13.239.64.168:10143 id=13
16:40:05.850 INF Connected to orderer. addrStr=18.183.223.241:10121 id=11
16:40:05.894 INF Connected to orderer. addrStr=43.206.226.31:10088 id=8
16:40:05.909 INF Connected to orderer. addrStr=176.32.78.86:10110 id=10
16:40:05.922 INF Connected to orderer. addrStr=176.32.64.207:10099 id=9
16:40:06.275 INF Connected to orderer. addrStr=3.141.199.225:10011 id=1
16:40:06.276 INF Connected to orderer. addrStr=3.21.44.62:10022 id=2
16:40:06.296 INF Connected to orderer. addrStr=18.188.107.174:10000 id=0
16:40:06.307 INF Connected to orderer. addrStr=18.189.188.7:10033 id=3
16:40:06.728 INF Connected to orderer. addrStr=13.38.30.21:10066 id=6
16:40:06.746 INF Connected to orderer. addrStr=35.180.203.157:10055 id=5
16:40:06.748 INF Connected to orderer. addrStr=15.237.117.251:10077 id=7
16:40:06.750 INF Connected to orderer. addrStr=13.39.104.42:10044 id=4
16:40:06.751 INF Connected to orderers.
16:40:06.751 INF Non crashing node count. count=16
16:40:06.757 INF Updating bucket assignment. epoch=0
16:40:06.757 INF Resubmitted Requests. epoch=0 n=0
16:40:06.759 INF Setting up client timeout. clientRunTime=15000
16:40:06.759 INF Starting to submit requests. numRequests=5859
16:40:08.752 INF Request finished (out of order). clSeqNr=5
16:40:08.752 INF Request finished (out of order). clSeqNr=21
16:40:08.753 INF Request finished (out of order). clSeqNr=37
16:40:08.753 INF Request finished (out of order). clSeqNr=53
16:40:08.753 INF Request finished (out of order). clSeqNr=69
16:40:08.754 INF Request finished (out of order). clSeqNr=85
16:40:08.757 INF Request finished (out of order). clSeqNr=6
16:40:08.757 INF Request finished (out of order). clSeqNr=22
16:40:08.757 INF Request finished (out of order). clSeqNr=38
16:40:08.775 INF Request finished (out of order). clSeqNr=54
16:40:08.776 INF Request finished (out of order). clSeqNr=70
16:40:08.787 INF Request finished (out of order). clSeqNr=86
16:40:08.852 INF Request finished (out of order). clSeqNr=7
16:40:08.852 INF Request finished (out of order). clSeqNr=23
16:40:08.852 INF Request finished (out of order). clSeqNr=39
16:40:08.852 INF Request finished (out of order). clSeqNr=55
16:40:08.859 INF Request finished (out of order). clSeqNr=71
16:40:08.859 INF Request finished (out of order). clSeqNr=87
16:40:08.872 INF Request finished (out of order). clSeqNr=8
16:40:08.872 INF Request finished (out of order). clSeqNr=24
16:40:08.872 INF Request finished (out of order). clSeqNr=40
16:40:08.872 INF Request finished (out of order). clSeqNr=56
16:40:08.872 INF Request finished (out of order). clSeqNr=72
16:40:08.872 INF Request finished (out of order). clSeqNr=88
16:40:09.495 INF Request finished (out of order). clSeqNr=9
16:40:09.496 INF Request finished (out of order). clSeqNr=25
16:40:09.496 INF Request finished (out of order). clSeqNr=41
16:40:09.496 INF Request finished (out of order). clSeqNr=57
16:40:09.497 INF Request finished (out of order). clSeqNr=73
16:40:09.497 INF Request finished (out of order). clSeqNr=89
16:40:09.500 INF Request finished (out of order). clSeqNr=10
16:40:09.500 INF Request finished (out of order). clSeqNr=26
16:40:09.501 INF Request finished (out of order). clSeqNr=42
16:40:09.501 INF Request finished (out of order). clSeqNr=58
16:40:09.501 INF Request finished (out of order). clSeqNr=74
16:40:09.501 INF Request finished (out of order). clSeqNr=90
16:40:09.505 INF Request finished (out of order). clSeqNr=11
16:40:09.505 INF Request finished (out of order). clSeqNr=27
16:40:09.505 INF Request finished (out of order). clSeqNr=43
16:40:09.505 INF Request finished (out of order). clSeqNr=59
16:40:09.506 INF Request finished (out of order). clSeqNr=75
16:40:09.506 INF Request finished (out of order). clSeqNr=91
16:40:09.509 INF Request finished (out of order). clSeqNr=12
16:40:09.509 INF Request finished (out of order). clSeqNr=28
16:40:09.510 INF Request finished (out of order). clSeqNr=44
16:40:09.523 INF Request finished (out of order). clSeqNr=60
16:40:09.529 INF Request finished (out of order). clSeqNr=76
16:40:09.544 INF Request finished (out of order). clSeqNr=92
16:40:09.544 INF Request finished (out of order). clSeqNr=13
16:40:09.550 INF Request finished (out of order). clSeqNr=29
