exp,peers,nlr,failures,numStraggler,numPrivCnt,UseSig,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,8,1,0,0,5,false,Straggler,60000,1,1gbit,2,Pbft,16,4,64,32,Simple,256,4096,1000,32,2,128,16,true,false,131072000,30000,468,false,14062,65536,external,32,8192,2622,4096,3410.5178571428573,1040,1048,1727.760001778094,1731.2826823911382,370.08998238730896,363.7895351476163,67.0904915451754,68.11165179613174,12.488789237668161,39.34977578475336,19.054041,13.066988,0.0,0,0,6583.831,6583.815,6583.831,2282.114,2282.075,1333.341135757468,1333.3032833614864,1333.341135757468,948.1891860248033,860.7366539550986,1956.1637856540224,1956.1637671370681,1037.2849346844641,1037.295889357162,2.0,44992,38129,8.386295116520582,8.599570006143319,23612.838872342094,29798.803438366267,0.0,0
0001,8,1,0,0,5,false,Straggler,60000,1,1gbit,2,Pbft,16,4,64,32,Simple,256,4096,1000,32,2,128,16,true,false,131072000,35000,546,false,16406,65536,external,32,8192,3029,4096,3721.3303571428573,725,734,1502.177312397576,1505.28918299925,399.93319370626864,394.017901382997,66.43488981549945,67.80344749192768,13.558035714285714,44.191964285714285,21.010894,14.050622,0.0,0,0,9217.65,9217.636,9217.65,4574.109,4574.07,2023.4873179999238,2023.4364635275736,2023.4873179999238,1166.3082372813537,1103.7929042723122,2868.73570404364,2868.7332419779627,1460.1316749939247,1460.1289277740843,3.0,52478,44449,8.3045356259388,8.597961177748722,24976.566918094966,29080.722360222946,0.0,0
0002,8,1,0,0,5,false,Straggler,60000,1,1gbit,2,Pbft,16,4,64,32,Simple,256,4096,1000,32,2,128,16,true,false,131072000,40000,625,false,18750,65536,external,32,8192,3522,4096,3977.4553571428573,522,534,1241.14259299362,1243.954030049849,391.7620262533429,389.6318414973256,66.01054272211309,67.50527642557998,14.169642857142858,47.35267857142857,25.016123,14.077558,0.0,0,0,11845.758,11845.745,11845.758,5230.333,5230.301,2863.115483866669,2863.0684028918395,2863.115483866669,1367.3631205836791,1217.1932070134549,3939.746988168306,3939.745275894843,1699.9063052563126,1699.9171448721252,1.5294117647058822,60031,47196,8.251804341866531,8.59541350270391,23996.923903835937,33305.128300721124,0.0,0
0003,8,1,0,0,5,false,Straggler,60000,1,1gbit,2,Pbft,16,4,64,32,Simple,256,4096,1000,32,2,128,16,true,false,131072000,45000,703,false,21093,65536,external,32,8192,4096,4096,4092.5089285714284,306,314,950.5988154290368,956.886983173635,632.1374198455641,409.78454064327366,65.92655099776036,67.69053928924933,15.089285714285714,51.419642857142854,28.006794,14.094429,0.0,0,0,14507.568,14507.538,14507.568,5891.533,5891.504,3810.7493994225215,3810.7009335011476,3810.7493994225215,1813.9859652216398,1422.8416303592119,4842.368499521985,4842.367026880683,1885.665457227113,1885.6658877149732,1.6363636363636365,67535,48328,8.241138016173299,8.594568570307331,24113.79181779964,37186.62087683389,0.0,0
