exp,peers,nlr,failures,numStraggler,numPrivCnt,UseSig,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size
0000,128,1,0,0,10,true,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,2048,4096,4000,32,32,2048,16,true,false,131072000,40000,156,false,4687,49152,external,32,8192
0001,128,1,0,0,10,true,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,2048,4096,4000,32,32,2048,16,true,false,131072000,50000,195,false,5859,49152,external,32,8192
0002,128,1,0,0,10,true,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,2048,4096,4000,32,32,2048,16,true,false,131072000,60000,234,false,7031,49152,external,32,8192
0003,128,1,0,0,10,true,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,2048,4096,4000,32,32,2048,16,true,false,131072000,70000,273,false,8203,49152,external,32,8192
0004,128,1,0,0,10,true,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,2048,4096,4000,32,32,2048,16,true,false,131072000,80000,312,false,9375,49152,external,32,8192
