04:07:09.015 INF Connecting to orderer. addrStr=54.252.139.24:10165 peerId=15
04:07:09.015 INF Connecting to orderer. addrStr=18.218.240.131:10000 peerId=0
04:07:09.015 INF Connecting to orderer. addrStr=3.145.176.168:10011 peerId=1
04:07:09.015 INF Connecting to orderer. addrStr=18.116.90.182:10022 peerId=2
04:07:09.015 INF Connecting to orderer. addrStr=3.142.36.97:10033 peerId=3
04:07:09.016 INF Connecting to orderer. addrStr=13.39.81.245:10044 peerId=4
04:07:09.016 INF Connecting to orderer. addrStr=35.180.86.235:10055 peerId=5
04:07:09.016 INF Connecting to orderer. addrStr=13.39.16.165:10066 peerId=6
04:07:09.016 INF Connecting to orderer. addrStr=13.38.8.20:10077 peerId=7
04:07:09.016 INF Connecting to orderer. addrStr=3.112.12.221:10088 peerId=8
04:07:09.016 INF Connecting to orderer. addrStr=54.199.30.147:10099 peerId=9
04:07:09.016 INF Connecting to orderer. addrStr=18.183.228.151:10110 peerId=10
04:07:09.016 INF Connecting to orderer. addrStr=13.230.76.96:10121 peerId=11
04:07:09.017 INF Connecting to orderer. addrStr=13.239.37.126:10132 peerId=12
04:07:09.017 INF Connecting to orderer. addrStr=54.66.204.115:10143 peerId=13
04:07:09.017 INF Connecting to orderer. addrStr=52.63.199.164:10154 peerId=14
04:07:09.064 INF Connected to orderer. addrStr=18.116.90.182:10022 id=2
04:07:09.064 INF Connected to orderer. addrStr=18.218.240.131:10000 id=0
04:07:09.065 INF Connected to orderer. addrStr=3.145.176.168:10011 id=1
04:07:09.065 INF Connected to orderer. addrStr=3.142.36.97:10033 id=3
04:07:09.479 INF Connected to orderer. addrStr=13.39.81.245:10044 id=4
04:07:09.533 INF Connected to orderer. addrStr=13.38.8.20:10077 id=7
04:07:09.533 INF Connected to orderer. addrStr=13.39.16.165:10066 id=6
04:07:09.534 INF Connected to orderer. addrStr=35.180.86.235:10055 id=5
04:07:09.674 INF Connected to orderer. addrStr=54.199.30.147:10099 id=9
04:07:09.679 INF Connected to orderer. addrStr=3.112.12.221:10088 id=8
04:07:09.680 INF Connected to orderer. addrStr=18.183.228.151:10110 id=10
04:07:09.718 INF Connected to orderer. addrStr=13.230.76.96:10121 id=11
04:07:09.953 INF Connected to orderer. addrStr=54.66.204.115:10143 id=13
04:07:09.976 INF Connected to orderer. addrStr=13.239.37.126:10132 id=12
04:07:09.978 INF Connected to orderer. addrStr=54.252.139.24:10165 id=15
04:07:10.004 INF Connected to orderer. addrStr=52.63.199.164:10154 id=14
04:07:10.005 INF Connected to orderers.
04:07:10.005 INF Non crashing node count. count=16
04:07:10.010 INF Updating bucket assignment. epoch=0
04:07:10.011 INF Resubmitted Requests. epoch=0 n=0
04:07:10.021 INF Setting up client timeout. clientRunTime=15000
04:07:10.021 INF Starting to submit requests. numRequests=7680
04:07:12.338 INF Request finished (out of order). clSeqNr=232
04:07:12.338 INF Request finished (out of order). clSeqNr=248
04:07:12.338 INF Request finished (out of order). clSeqNr=8
04:07:12.338 INF Request finished (out of order). clSeqNr=264
04:07:12.338 INF Request finished (out of order). clSeqNr=24
04:07:12.338 INF Request finished (out of order). clSeqNr=280
04:07:12.339 INF Request finished (out of order). clSeqNr=40
04:07:12.339 INF Request finished (out of order). clSeqNr=56
04:07:12.339 INF Request finished (out of order). clSeqNr=72
04:07:12.339 INF Request finished (out of order). clSeqNr=88
04:07:12.381 INF Request finished (out of order). clSeqNr=104
04:07:12.381 INF Request finished (out of order). clSeqNr=120
04:07:12.381 INF Request finished (out of order). clSeqNr=136
04:07:12.381 INF Request finished (out of order). clSeqNr=152
04:07:12.381 INF Request finished (out of order). clSeqNr=168
04:07:12.382 INF Request finished (out of order). clSeqNr=184
04:07:12.382 INF Request finished (out of order). clSeqNr=200
04:07:12.382 INF Request finished (out of order). clSeqNr=216
04:07:12.382 INF Request finished (out of order). clSeqNr=233
04:07:12.382 INF Request finished (out of order). clSeqNr=249
04:07:12.382 INF Request finished (out of order). clSeqNr=9
04:07:12.382 INF Request finished (out of order). clSeqNr=265
04:07:12.382 INF Request finished (out of order). clSeqNr=25
04:07:12.382 INF Request finished (out of order). clSeqNr=281
04:07:12.382 INF Request finished (out of order). clSeqNr=41
04:07:12.382 INF Request finished (out of order). clSeqNr=57
04:07:12.382 INF Request finished (out of order). clSeqNr=73
04:07:12.382 INF Request finished (out of order). clSeqNr=89
04:07:12.382 INF Request finished (out of order). clSeqNr=105
04:07:12.382 INF Request finished (out of order). clSeqNr=121
04:07:12.382 INF Request finished (out of order). clSeqNr=137
04:07:12.382 INF Request finished (out of order). clSeqNr=153
04:07:12.382 INF Request finished (out of order). clSeqNr=169
04:07:12.382 INF Request finished (out of order). clSeqNr=185
04:07:12.382 INF Request finished (out of order). clSeqNr=201
04:07:12.382 INF Request finished (out of order). clSeqNr=217
04:07:12.382 INF Request finished (out of order). clSeqNr=234
04:07:12.382 INF Request finished (out of order). clSeqNr=250
04:07:12.382 INF Request finished (out of order). clSeqNr=10
04:07:12.382 INF Request finished (out of order). clSeqNr=266
04:07:12.382 INF Request finished (out of order). clSeqNr=26
04:07:12.382 INF Request finished (out of order). clSeqNr=282
04:07:12.382 INF Request finished (out of order). clSeqNr=42
04:07:12.382 INF Request finished (out of order). clSeqNr=58
04:07:12.382 INF Request finished (out of order). clSeqNr=74
04:07:12.382 INF Request finished (out of order). clSeqNr=90
04:07:12.430 INF Request finished (out of order). clSeqNr=106
04:07:12.430 INF Request finished (out of order). clSeqNr=122
04:07:12.430 INF Request finished (out of order). clSeqNr=138
04:07:12.430 INF Request finished (out of order). clSeqNr=154
04:07:12.430 INF Request finished (out of order). clSeqNr=170
04:07:12.430 INF Request finished (out of order). clSeqNr=186
04:07:12.430 INF Request finished (out of order). clSeqNr=202
04:07:12.430 INF Request finished (out of order). clSeqNr=218
04:07:12.430 INF Request finished (out of order). clSeqNr=235
