exp,peers,nlr,failures,numStraggler,numTnCheckpointCnt,numPrivCnt,UseSig,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size
0000,32,1,0,1,3,10,false,Straggler,60000,1,1gbit,1,Pbft,16,4,64,64,Simple,2048,4096,4000,32,8,512,16,true,false,131072000,35000,546,false,16406,196608,external,32,8192
0001,32,1,0,1,3,10,false,Straggler,60000,1,1gbit,1,Pbft,16,4,64,64,Simple,2048,4096,4000,32,8,512,16,true,false,131072000,40000,625,false,18750,196608,external,32,8192
