exp,peers,nlr,failures,StrgglerCnt,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,1000,32,4,256,16,true,false,131072000,5000,19,false,585,16384,external,32,8192,606,611,608.1458333333334,0,51472,50273.36624461207,52067.683906090504,9506.74740971707,323.77482231010174,140.90698856281094,127.93728215354668,1.2603092783505154,3.9304123711340204,17.362843,11.55161,0.0,0,0,3765.719,3765.685,3765.719,3779.751,3779.713,2745.1006879040947,2745.0542222521553,2745.1006879040947,2764.059024686876,2764.009435911402,650.8358827685919,650.8389506788792,648.8845807742769,648.9455504684335,None,7424,5509,8.840131145555578,9.507655940908334,4275.797460127929,4769.032195512141,0.0,0
0001,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,1000,32,4,256,16,true,false,131072000,10000,39,false,1171,16384,external,32,8192,1245,1252,1248.4166666666667,0,24519,24683.883209745763,25113.093156199677,3256.7354606754843,319.86109509609713,136.21008078038162,133.61879045115663,1.7694174757281553,5.669902912621359,27.103776,11.545545,0.0,0,0,13706.186,13706.148,13706.186,10104.19,10104.169,10308.48059626589,10308.443266088454,10308.48059626589,7264.545185627675,7264.499607524964,3085.733127868933,3085.748311625782,2474.510480619632,2474.5287618654115,1.6326530612244898,15104,5608,8.540811288105585,9.507991169453202,5572.655263975027,4857.284779540507,0.0,0
0002,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,1000,32,4,256,16,true,false,131072000,15000,58,false,1757,16384,external,32,8192,1852,1860,1856.1041666666667,0,16145,16529.62908380682,16721.516554858255,1800.1939173426483,318.17476254798135,133.81775559994077,130.57706515938,2.3509615384615383,7.6298076923076925,39.084991,0.148254,0.0,0,0,24923.274,24923.242,24923.274,9154.265,9154.223,19545.08866290838,19545.05305686257,19545.08866290838,8182.200113784461,8182.290764292879,4823.343347683872,4823.355559205883,504.26220800106876,504.2724126595476,1.875,22528,1995,8.378393798073528,11.717763030213519,5763.84935076485,134566.35234125218,0.0,0
0003,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,1000,32,4,256,16,true,false,131072000,20000,78,false,2343,16384,external,32,8192,2491,2503,2496.84375,11621,11700,12218.784030720339,12323.338130376289,1172.4451598387716,315.3370914235128,132.47324110484448,129.4513909624413,2.605,8.655,51.589752,12.451887,0.0,0,0,37334.745,37334.719,37334.745,15452.431,15452.398,28034.207747153072,28034.174937665517,28034.207747153072,13856.206735507247,13900.481018181817,7415.579265451402,7415.58445478905,2905.847296884722,2816.0591093899616,1.8307692307692307,30208,276,8.290692561467809,9.506533662338619,5855.426480825106,221.65315184758745,0.0,0
0004,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,1000,32,4,256,16,true,false,131072000,25000,97,false,2929,16384,external,32,8192,3100,3112,3105.5625,9149,9192,9750.496548587329,9819.34864355814,870.5624871934721,320.6825221872993,129.53924219451312,130.9729968585064,3.3575,10.7825,63.557227,0.000658,1.0,1,1,49284.273,49284.245,49284.273,2186.897,2186.801,36377.27152803938,36377.23794772046,36377.27152803938,1972.3891666666668,1991.2304,9862.863932690258,9862.870151814925,157.0725689220325,167.79952689534025,1.5178571428571428,37376,6,8.107695004115117,9.507807544148166,5880.68450500523,91185.41033434651,0.0,0
0005,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,1000,32,4,256,16,true,false,131072000,30000,117,false,3515,16384,external,32,8192,3740,3751,3745.4479166666665,7397,7431,8032.420987215909,8078.428311559451,684.2199679385993,315.99724381326763,106.58908580528227,127.23830677928139,3.51,11.8625,76.061686,0.124135,1.0,1,1,61761.901,61761.871,61761.901,2959.175,2959.111,44618.6477944114,44618.61489701705,44618.6477944114,2128.135703333333,2128.07839,13005.03331398516,13005.039053146726,447.1736662984429,447.1453031409382,1.5466666666666666,45056,300,6.795412098114116,9.506303025489864,5923.613105289304,24167.23728199138,0.0,0
0006,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,1000,32,4,256,16,true,false,131072000,35000,136,false,4101,16384,external,32,8192,,,None,6203,,6844.425666920732,None,575.3379282671286,None,94.12897426578368,None,None,None,87.764134,None,1.0,1,1,73908.93,73908.91,73908.93,,,53708.77555019055,53708.74334249238,53708.77555019055,None,None,14953.60565103213,14953.609484258159,None,None,None,52480,0,5.890307584932311,None,5979.663628880563,None,0.0,0
0007,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,1000,32,4,256,16,true,false,131072000,40000,156,false,4687,16384,external,32,8192,4096,4096,4096.0,5259,5288,5925.015658244681,5950.4989546894085,501.8906904742898,319.57525927431334,82.31695653573817,133.72505882388566,3.6775,13.0975,100.51896,0.149995,1.0,1,1,86302.272,86302.239,86302.272,2886.166,2886.132,59964.98013284575,59964.94774798869,59964.98013284575,2180.0620970588234,2180.0095647058824,18446.614732835493,18446.618411347343,410.15192430949077,410.13923497078855,1.3866666666666667,60160,340,5.158960167023681,9.506682405507538,5984.9405525087,22667.422247408245,0.0,0
0008,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,1000,32,4,256,16,true,false,131072000,45000,175,false,5273,16384,external,32,8192,4096,4096,4096.0,4568,4594,5228.497133436312,5247.86629536805,454.60777711507944,321.15550074081244,72.48712227663677,133.05621087267062,4.416666666666667,15.055555555555555,112.509523,0.085499,1.0,1,1,96687.125,96687.104,96687.125,3019.586,3019.557,67857.59659247268,67857.56466311193,67857.59659247268,2305.214066666667,2305.177066666667,20845.293447104883,20845.296115129244,474.26026639255355,474.2579874870985,1.2844444444444445,67328,105,4.611979652085532,9.506644748569052,5984.2045548446595,12280.84539000456,0.0,0
0009,16,1,0,0,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,1000,32,4,256,16,true,false,131072000,50000,195,false,5859,16384,external,32,8192,4096,4096,4096.0,3982,4008,4675.417262158703,4691.89469825719,419.9428373580134,318.1790094820248,65.7707109375488,134.5077503742584,4.378787878787879,15.297979797979798,124.75924,0.167644,1.0,1,1,110270.971,110270.944,110270.971,3174.377,3174.354,74917.8599274744,74917.82799681366,74917.8599274744,2314.127364683301,2314.077238003839,23984.183106508935,23984.186199340096,470.205535496616,470.19271023324245,1.5777777777777777,75008,521,4.118094427921041,9.506974256896271,6012.220016729823,31077.760015270454,0.0,0
