03:56:03.444 INF Connecting to orderer. addrStr=13.239.3.192:10165 peerId=15
03:56:03.445 INF Connecting to orderer. addrStr=18.222.163.69:10000 peerId=0
03:56:03.445 INF Connecting to orderer. addrStr=18.188.33.191:10011 peerId=1
03:56:03.445 INF Connecting to orderer. addrStr=13.58.191.42:10022 peerId=2
03:56:03.445 INF Connecting to orderer. addrStr=3.12.76.199:10033 peerId=3
03:56:03.445 INF Connecting to orderer. addrStr=52.47.76.69:10044 peerId=4
03:56:03.445 INF Connecting to orderer. addrStr=15.237.28.190:10055 peerId=5
03:56:03.445 INF Connecting to orderer. addrStr=13.39.158.215:10066 peerId=6
03:56:03.445 INF Connecting to orderer. addrStr=15.237.100.31:10077 peerId=7
03:56:03.445 INF Connecting to orderer. addrStr=43.207.143.169:10088 peerId=8
03:56:03.445 INF Connecting to orderer. addrStr=54.248.66.247:10099 peerId=9
03:56:03.446 INF Connecting to orderer. addrStr=13.231.255.231:10110 peerId=10
03:56:03.446 INF Connecting to orderer. addrStr=3.112.71.221:10121 peerId=11
03:56:03.446 INF Connecting to orderer. addrStr=3.104.79.78:10132 peerId=12
03:56:03.446 INF Connecting to orderer. addrStr=13.211.11.123:10143 peerId=13
03:56:03.446 INF Connecting to orderer. addrStr=3.25.115.53:10154 peerId=14
03:56:03.510 INF Connected to orderer. addrStr=15.237.100.31:10077 id=7
03:56:03.510 INF Connected to orderer. addrStr=13.39.158.215:10066 id=6
03:56:03.513 INF Connected to orderer. addrStr=15.237.28.190:10055 id=5
03:56:03.516 INF Connected to orderer. addrStr=52.47.76.69:10044 id=4
03:56:03.908 INF Connected to orderer. addrStr=18.222.163.69:10000 id=0
03:56:03.910 INF Connected to orderer. addrStr=18.188.33.191:10011 id=1
03:56:03.948 INF Connected to orderer. addrStr=3.12.76.199:10033 id=3
03:56:03.957 INF Connected to orderer. addrStr=13.58.191.42:10022 id=2
03:56:04.543 INF Connected to orderer. addrStr=13.231.255.231:10110 id=10
03:56:04.547 INF Connected to orderer. addrStr=54.248.66.247:10099 id=9
03:56:04.548 INF Connected to orderer. addrStr=3.112.71.221:10121 id=11
03:56:04.565 INF Connected to orderer. addrStr=43.207.143.169:10088 id=8
03:56:04.837 INF Connected to orderer. addrStr=13.239.3.192:10165 id=15
03:56:04.837 INF Connected to orderer. addrStr=3.104.79.78:10132 id=12
03:56:04.885 INF Connected to orderer. addrStr=3.25.115.53:10154 id=14
03:56:04.885 INF Connected to orderer. addrStr=13.211.11.123:10143 id=13
03:56:04.886 INF Connected to orderers.
03:56:04.886 INF Non crashing node count. count=16
03:56:04.891 INF Updating bucket assignment. epoch=0
03:56:04.891 INF Resubmitted Requests. epoch=0 n=0
03:56:04.892 INF Setting up client timeout. clientRunTime=15000
03:56:04.892 INF Starting to submit requests. numRequests=4687
03:56:07.503 INF Request finished (out of order). clSeqNr=11
03:56:07.504 INF Request finished (out of order). clSeqNr=27
03:56:07.504 INF Request finished (out of order). clSeqNr=43
03:56:07.504 INF Request finished (out of order). clSeqNr=59
03:56:07.504 INF Request finished (out of order). clSeqNr=75
03:56:07.505 INF Request finished (out of order). clSeqNr=91
03:56:07.505 INF Request finished (out of order). clSeqNr=107
03:56:07.506 INF Request finished (out of order). clSeqNr=123
03:56:07.506 INF Request finished (out of order). clSeqNr=139
03:56:07.507 INF Request finished (out of order). clSeqNr=155
03:56:07.507 INF Request finished (out of order). clSeqNr=171
03:56:07.509 INF Request finished (out of order). clSeqNr=12
03:56:07.510 INF Request finished (out of order). clSeqNr=28
03:56:07.519 INF Request finished (out of order). clSeqNr=44
03:56:07.519 INF Request finished (out of order). clSeqNr=60
03:56:07.519 INF Request finished (out of order). clSeqNr=76
03:56:07.519 INF Request finished (out of order). clSeqNr=92
03:56:07.519 INF Request finished (out of order). clSeqNr=108
03:56:07.519 INF Request finished (out of order). clSeqNr=124
03:56:07.519 INF Request finished (out of order). clSeqNr=140
03:56:07.519 INF Request finished (out of order). clSeqNr=156
03:56:07.526 INF Request finished (out of order). clSeqNr=172
03:56:07.526 INF Request finished (out of order). clSeqNr=13
03:56:07.526 INF Request finished (out of order). clSeqNr=29
03:56:07.526 INF Request finished (out of order). clSeqNr=45
03:56:07.526 INF Request finished (out of order). clSeqNr=61
03:56:07.526 INF Request finished (out of order). clSeqNr=77
03:56:07.526 INF Request finished (out of order). clSeqNr=93
03:56:07.595 INF Request finished (out of order). clSeqNr=109
03:56:07.595 INF Request finished (out of order). clSeqNr=125
03:56:07.595 INF Request finished (out of order). clSeqNr=141
03:56:07.595 INF Request finished (out of order). clSeqNr=157
03:56:07.595 INF Request finished (out of order). clSeqNr=173
03:56:07.595 INF Request finished (out of order). clSeqNr=14
03:56:07.595 INF Request finished (out of order). clSeqNr=30
03:56:07.596 INF Request finished (out of order). clSeqNr=46
03:56:07.596 INF Request finished (out of order). clSeqNr=62
03:56:07.596 INF Request finished (out of order). clSeqNr=78
03:56:07.596 INF Request finished (out of order). clSeqNr=94
03:56:07.596 INF Request finished (out of order). clSeqNr=110
03:56:07.596 INF Request finished (out of order). clSeqNr=126
03:56:07.596 INF Request finished (out of order). clSeqNr=142
03:56:07.596 INF Request finished (out of order). clSeqNr=158
03:56:07.596 INF Request finished (out of order). clSeqNr=174
03:56:08.246 INF Request finished (out of order). clSeqNr=15
03:56:08.246 INF Request finished (out of order). clSeqNr=31
03:56:08.247 INF Request finished (out of order). clSeqNr=47
03:56:08.247 INF Request finished (out of order). clSeqNr=63
03:56:08.247 INF Request finished (out of order). clSeqNr=79
03:56:08.247 INF Request finished (out of order). clSeqNr=95
03:56:08.248 INF Request finished (out of order). clSeqNr=111
03:56:08.248 INF Request finished (out of order). clSeqNr=127
03:56:08.248 INF Request finished (out of order). clSeqNr=143
03:56:08.250 INF Request finished (out of order). clSeqNr=191
03:56:08.250 INF Request finished (out of order). clSeqNr=159
03:56:08.250 INF Request finished (out of order). clSeqNr=175
03:56:08.251 INF Request finished (out of order). clSeqNr=0
03:56:08.251 INF Request delivered (in order). clSeqNr=0
03:56:08.252 INF Request finished (out of order). clSeqNr=16
03:56:08.252 INF Request finished (out of order). clSeqNr=32
03:56:08.252 INF Request finished (out of order). clSeqNr=48
03:56:08.252 INF Request finished (out of order). clSeqNr=64
