0, 9
1, 3
993, 1
994, 2
995, 1
996, 1
998, 2
999, 1
1000, 2
1001, 3
1002, 3
2026, 6
2027, 1
2028, 5
3032, 2
3033, 2
3036, 3
3037, 1
3039, 4
3041, 3
3042, 3
3043, 1
3044, 1
4027, 4
4028, 1
4029, 2
4030, 1
4031, 3
4032, 1
5040, 3
5041, 3
5042, 1
5043, 4
5046, 1
5047, 4
5048, 4
6030, 1
6031, 1
6032, 1
6033, 1
6035, 3
6036, 1
6039, 1
6040, 3
7037, 2
7038, 1
7039, 1
7040, 1
7042, 1
7044, 1
7046, 1
7047, 2
7048, 4
7049, 2
7052, 1
7053, 3
8030, 1
8031, 3
8034, 2
8037, 2
8045, 4
9040, 1
9041, 2
9042, 4
9043, 1
9047, 2
9049, 2
9053, 2
9054, 3
9055, 2
9057, 1
10032, 1
10033, 3
10038, 1
10039, 3
10047, 4
11040, 1
11043, 2
11044, 2
11045, 1
11047, 2
11052, 2
11053, 1
11055, 4
11058, 1
12033, 1
12034, 2
12035, 1
12045, 1
12046, 1
12047, 1
12049, 3
12050, 2
13037, 4
13038, 4
13053, 1
13054, 2
13055, 1
13059, 3
13060, 3
13061, 2
14043, 1
14044, 1
14046, 1
14047, 1
14055, 1
14056, 2
14057, 1
14058, 1
14059, 3
15028, 3
15029, 3
15038, 1
15039, 1
15058, 3
15059, 1
15062, 4
15064, 2
15067, 2
16046, 2
16047, 2
16057, 4
16059, 2
16060, 2
17033, 3
17034, 2
17035, 2
17036, 1
17053, 1
17054, 2
17055, 1
17066, 2
17069, 1
17071, 1
17072, 2
17073, 1
17075, 1
18051, 3
18054, 1
18062, 4
18065, 1
18066, 3
19032, 2
19033, 2
19034, 1
19035, 2
19036, 1
19055, 2
19056, 1
19057, 1
19140, 4
19142, 2
19143, 2
20050, 1
20052, 2
20054, 1
20062, 3
20063, 1
20067, 2
20068, 2
21027, 2
21028, 4
21029, 2
21061, 3
21062, 1
21072, 1
21073, 2
21074, 1
21079, 4
22055, 1
22056, 3
22063, 2
22064, 2
22077, 2
22078, 2
23027, 1
23028, 4
23029, 3
23059, 2
23061, 1
23063, 1
23071, 2
23072, 1
23073, 1
23082, 1
23083, 3
24058, 3
24060, 1
24068, 3
24069, 1
24083, 3
24084, 1
25030, 4
25031, 4
25065, 1
25066, 2
25067, 1
25078, 1
25079, 3
25085, 4
26063, 1
26064, 2
26065, 1
26074, 3
26075, 1
26089, 4
27027, 4
27028, 4
27068, 2
27069, 1
27072, 1
27083, 2
27084, 2
27089, 3
27090, 1
28067, 3
28068, 1
28076, 3
28077, 1
28090, 3
28091, 1
29029, 6
29030, 2
29068, 4
29088, 3
29089, 1
29092, 3
29094, 1
30067, 3
30068, 1
30082, 1
30083, 3
30091, 4
31029, 4
31030, 4
31076, 3
31077, 1
31086, 3
31087, 1
31092, 4
32052, 4
32065, 4
32074, 4
32993, 3
32994, 4
32995, 1
33052, 4
33064, 3
33065, 1
33074, 2
33075, 2
34054, 3
34055, 1
34068, 3
34069, 1
34075, 1
34076, 3
