exp,peers,nlr,failures,numStraggler,numTnCheckpointCnt,numPrivCnt,UseSig,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,32,1,0,0,3,10,false,Straggler,60000,1,1gbit,1,Pbft,16,4,64,16,Simple,512,4096,4000,32,8,512,16,true,false,131072000,35000,546,false,16406,65536,external,32,8192,4096,4096,4096.0,633,690,1249.2233422256097,1136.237626190379,2026.6577857320867,2939.3544203344723,445.8138626878306,159.19243155334414,1.8531468531468531,84.82517482517483,24.172867,7.008994,0.0,0,0,14469.487,14469.42,14469.487,11157.423,11157.374,10409.56959933308,10409.439634241617,10409.56959933308,8092.796738335344,8092.783169618298,2605.180604053389,2605.156408135207,1788.4815663783995,1788.5562843528462,None,52480,20725,6.512346442177944,9.830827070602346,21710.29195668019,29569.150722628667,0.0,0
0001,32,1,0,0,3,10,false,Straggler,60000,1,1gbit,1,Pbft,16,4,64,16,Simple,512,4096,4000,32,8,512,16,true,false,131072000,40000,625,false,18750,65536,external,32,8192,4096,4096,4096.0,428,492,1089.6481709754798,1048.6201614167057,981.32459374487,1450.2340523463206,361.48044081105843,173.75432275031156,1.7231182795698925,86.2741935483871,23.21817,6.386565,0.0,0,0,18004.421,18004.358,18004.421,11353.277,11353.256,11923.628381596482,11923.552808535447,11923.628381596482,8671.157610859913,8671.092750945414,3457.2222754025092,3457.226126782689,1659.8340131250552,1659.8339517213196,None,60032,24328,6.588827432262197,10.040424042734637,25855.612220945924,38092.4644155348,0.0,0
