0, 22
501, 19
1004, 19
1506, 19
2008, 20
2510, 19
3011, 20
3513, 19
4015, 20
4517, 19
5019, 20
5520, 19
6023, 20
6524, 19
7026, 20
7528, 19
8029, 20
8531, 19
9033, 20
9535, 19
10037, 20
10540, 19
11042, 20
11544, 19
12046, 20
12548, 19
13051, 20
13552, 19
14054, 20
14556, 19
15058, 20
15561, 19
16062, 20
16563, 19
17065, 20
17567, 19
18068, 20
18570, 19
19073, 20
19575, 20
20076, 20
20579, 19
21081, 20
21583, 19
22084, 19
22586, 19
23088, 20
23590, 19
24091, 21
24594, 19
25096, 20
25597, 19
26099, 20
26600, 19
27103, 20
27605, 19
28107, 20
28609, 19
29111, 20
29613, 19
30115, 20
30617, 19
31119, 20
31623, 19
32125, 20
32626, 19
