exp,peers,nlr,failures,numStraggler,numPrivCnt,UseSig,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size
0000,4,1,0,1,10,false,Straggler,60000,1,1gbit,4,Pbft,1,2,2,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,24576,12288,false,368640,2097152,external,32,8192
0001,4,1,0,1,10,false,Straggler,60000,1,1gbit,4,Pbft,1,2,2,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,32768,16384,false,491520,2097152,external,32,8192
0002,4,1,0,1,10,false,Straggler,60000,1,1gbit,4,Pbft,1,2,2,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,40960,20480,false,614400,2097152,external,32,8192
0003,4,1,0,1,10,false,Straggler,60000,1,1gbit,4,Pbft,1,2,2,32,Simple,128,2048,1000,32,1,64,16,true,false,131072000,49152,24576,false,737280,2097152,external,32,8192
