exp,peers,nlr,failures,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,8,1,0,1,Straggler,60000,1,1gbit,2,Pbft,1,1,1,32,Blacklist,256,4096,1000,32,2,128,16,true,false,131072000,128,128,false,7680,4194304,external,32,8192,16,32,19.327731092436974,-10478,-6023,6049.587012987013,6011.545454545455,3891.105620693611,4387.083401389925,104.3741851983013,86.67378162355426,4.090277777777778,33.49305555555556,30.137888,16.214165,1.0,1,1,3018.16,2934.397,3018.16,3363.228,2935.475,1986.6594,1912.1754311688312,1986.6594,2144.301826666667,2017.2625511111112,750.5751918109142,657.9620446066635,725.6480194106255,580.0494018458672,1.5178571428571428,385,225,7.222083482197433,6.582394682929643,127.7461778343592,138.76755293905052,0.0,0
0001,8,1,0,1,Straggler,60000,1,1gbit,2,Pbft,1,1,1,32,Blacklist,256,4096,1000,32,2,128,16,true,false,131072000,256,256,false,15360,4194304,external,32,8192,31,64,41.613207547169814,-72461,-58466,-631.6809895833334,-1183.4902386117137,12575.197509281823,14225.278195583816,96.59230024301559,103.23922324833694,4.493055555555555,22.854166666666668,30.098488,16.173486,1.0,1,1,3899.937,3502.21,3899.937,4259.958,2896.298,2158.501640625,2025.12262109375,2158.501640625,2186.1371909307873,1942.1520119331742,1003.7748907749905,838.4206468261557,979.6148890064088,622.6878283721393,1.5,768,419,7.013352663691797,6.540734491162635,255.16231911715963,259.06597996251395,0.0,0
0002,8,1,0,1,Straggler,60000,1,1gbit,2,Pbft,1,1,1,32,Blacklist,256,4096,1000,32,2,128,16,true,false,131072000,512,512,false,30720,4194304,external,32,8192,62,129,75.99145299145299,-180875,-156220,-15952.329212752114,-16077.34347826087,40172.617449863246,39445.10174361523,99.80850114266225,104.49261072709596,6.020833333333333,34.87847222222222,30.266597,16.608302,1.0,1,1,3098.984,3000.455,3098.984,3207.648,3021.73,2065.09796942095,2014.1350813272609,2065.09796942095,2229.061346666667,2142.665652222222,708.6015447644553,633.5530832991514,665.6519238827336,544.1852488734302,1.5178571428571428,1537,900,7.2798918886748485,7.115211202577726,507.8205521420198,541.8976605796306,0.0,0
0003,8,1,0,1,Straggler,60000,1,1gbit,2,Pbft,1,1,1,32,Blacklist,256,4096,1000,32,2,128,16,true,false,131072000,1024,1024,false,61440,4194304,external,32,8192,47,258,158.4695652173913,-816330,-816330,-229824.06473649968,-241181.8653106102,217422.87560888447,222355.83933114482,95.244335592494,103.9881792152792,8.545454545454545,56.18181818181818,30.524155,16.91407,1.0,1,1,3669.179,3365.628,3669.179,3942.349,3474.02,2284.935919323357,2209.181223812622,2284.935919323357,2438.005817915691,2302.9834695550353,873.9299832609976,793.4888691418473,893.3739186998417,768.3556162587511,1.5535714285714286,3074,1708,7.175834486870341,6.867219328535238,1007.0712850200111,1009.8101757885595,0.0,0
0004,8,1,0,1,Straggler,60000,1,1gbit,2,Pbft,1,1,1,32,Blacklist,256,4096,1000,32,2,128,16,true,false,131072000,2048,2048,false,122880,4194304,external,32,8192,51,301,179.85714285714286,-12748553,-10116675,-5993623.011595023,-6538465.201332699,3737595.4589572814,2238347.5429187967,98.21367834778832,107.10956234773307,8.480286738351255,62.053763440860216,30.401684,16.932613,1.0,1,1,3554.583,3346.84,3554.583,3793.401,3369.522,2350.0095438348417,2297.112555995475,2350.0095438348417,2471.780989071038,2370.903676502732,832.4056667892966,761.993232606888,845.9912298875324,719.8605659220509,2.0357142857142856,3536,1830,7.18569290601953,7.047238885882462,1163.0934654803991,1080.7546360387496,0.0,0
0005,8,1,0,1,Straggler,60000,1,1gbit,2,Pbft,1,1,1,32,Blacklist,256,4096,1000,32,2,128,16,true,false,131072000,4096,4096,false,245760,4194304,external,32,8192,63,293,183.07079646017698,-21344236,-17231961,-10445990.404206935,-11207093.929025942,6305547.824126869,3683257.233479404,95.67023440767271,100.955609435761,8.342960288808664,61.332129963898915,30.549146,16.506835,1.0,1,1,3832.716,3390.884,3832.716,4174.226,3382.558,2439.915948550313,2322.5622393405342,2439.915948550313,2586.6447426900586,2368.2512642211586,895.2457157067962,820.8626355015188,904.4410377718264,788.0025516049859,1.5892857142857142,3518,1881,7.133003366950861,6.780532000540763,1151.5870198139091,1139.527959175699,0.0,0
