exp,peers,nlr,failures,numStraggler,numPrivCnt,UseSig,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,32,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,30000,117,false,3515,16384,external,32,8192,3742,4096,3904.9375,7362,7398,8006.889293323864,8052.411429872495,682.0102724731184,315.399917564984,450.05234239180373,155.3022989216467,2.4019975031210987,74.45568039950062,49.984937,12.129947,1.0,1,1,14344.947,13937.527,14344.947,12822.332,12822.272,10965.467197398793,10335.545188942648,10965.467197398793,9043.445107856192,10401.119501292531,4806.354430331577,2853.5312280598782,2441.8773026062813,2441.9014503501285,4.0,45056,14313,7.560707720733536,7.980767945405162,9013.915532193229,41472.179539747165,0.0,0
0001,32,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,40000,156,false,4687,16384,external,32,8192,4096,4096,4040.6486486486488,5232,5261,5914.620046542554,5940.4007092885795,524.7763904383438,360.0290990482744,383.55177364989424,167.31976139380538,2.9355246523388114,77.67888748419722,58.717631,12.796015,1.0,1,1,21870.005,21484.381,21870.005,13143.895,13143.829,13987.01118977726,13077.580400199467,13987.01118977726,13368.132868604765,10851.691900379834,6598.2776763471265,3666.625591134578,2509.4602323017043,2508.6515970331784,11.0,60160,17377,6.963543395550006,7.362959893957457,10245.644957985447,24121.96713234629,0.0,0
0002,32,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,50000,195,false,5859,16384,external,32,8192,4096,4096,4034.865671641791,3957,3987,4651.831058020478,4669.502291783119,415.48974625233956,307.7417515011136,350.6642415456468,147.20468755924807,3.120734908136483,79.44225721784777,72.949175,12.518171,1.0,1,1,24330.397,24074.649,24330.397,12940.448,12940.365,16957.880162276022,15965.446577938354,16957.880162276022,15518.203352463606,10970.185314485729,7927.566912238279,5228.331476246313,2487.502643787025,2487.5299011459206,None,75008,18570,7.299300822362281,6.7087045441460305,10282.227317855206,19151.760236261212,0.0,0
0003,32,1,0,1,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,16,Simple,512,4096,1000,32,8,512,16,true,false,131072000,60000,234,false,7031,16384,external,32,8192,4096,4096,4032.9846153846156,3104,3131,3809.8275035511365,3822.5783674693866,399.4722547669989,349.6848251240198,311.1208977259165,151.63464600707965,3.078843626806833,82.21024967148489,82.204589,11.994224,1.0,1,1,26813.62,26275.597,26813.62,13402.91,13401.828,19633.731110762164,18342.660254494407,19633.731110762164,18766.273707014214,11580.886054546483,9834.575868217167,6107.661285470282,2766.8088418517505,2766.8478761824817,None,90112,17673,6.781018107769032,6.750040396395604,10961.918439857414,16850.0876216897,0.0,0
