exp,peers,nlr,failures,numStraggler,numPrivCnt,UseSig,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,16,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,2500,32,4,256,16,true,false,131072000,30000,117,false,3515,16384,external,32,8192,4096,4096,4096.0,7364,7417,8024.59541459517,8078.827641215285,686.2638449887069,324.56114011378554,155.31469040485027,109.79162189726745,2.9798657718120807,53.7751677852349,29.468416,5.312,0.0,0,0,12185.213,12185.156,12185.213,7426.245,7426.201,7023.357887961647,7023.3031668146305,7023.357887961647,5273.3278506265115,5273.269476698175,2937.753306109939,2937.754646279986,1251.6826145583836,1251.6803845950246,None,45056,18196,6.345062026754807,6.284229771092932,15289.59004786684,34254.51807228916,0.0,0
0001,16,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,2500,32,4,256,16,true,false,131072000,40000,156,false,4687,16384,external,32,8192,4096,4096,4096.0,5226,5270,5915.613198138298,5948.211745244003,618.039539329067,480.9256252384127,173.99293676182958,88.78160347322603,3.4921630094043885,45.41379310344828,44.204222,9.855467,1.0,1,1,18984.327,18984.274,18984.327,9636.734,9636.665,11609.21712599734,11609.162800515292,11609.21712599734,7055.890619722334,7055.832000457064,4831.68191541205,4831.68527187969,1873.1699724120879,1873.1766271070458,None,60160,17503,5.781837398543208,5.835784903343192,13609.559738434034,17759.68607068544,0.0,0
0002,16,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,2500,32,4,256,16,true,false,131072000,50000,195,false,5859,16384,external,32,8192,4096,4096,4096.0,3956,3998,4665.112481335324,4692.826717307849,440.91206327886675,314.9321934091682,148.07244041924955,126.2849676007868,3.6139240506329116,51.41139240506329,56.074569,7.471363,1.0,1,1,21831.054,21753.442,21831.054,10821.046,10820.997,14660.308354762159,14564.703620840442,14660.308354762159,7274.81307362582,7274.752185001081,5917.179989468418,5735.20044013279,2324.691998456686,2324.700407041552,None,75008,13881,5.79367010985984,5.72767515397123,13376.473745166013,18578.939344802282,0.0,0
0003,16,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,2500,32,4,256,16,true,false,131072000,60000,234,false,7031,16384,external,32,8192,4096,4096,4096.0,3100,3143,3812.1346324573865,3835.889925276097,398.75006237101957,320.15124215466767,143.87339166554892,101.57400481733298,3.9779874213836477,52.443396226415096,61.28143,6.989123,1.0,1,1,26727.474,26350.098,26727.474,9721.125,9721.076,17299.392455488727,16769.337842995385,17299.392455488727,6332.572068039269,6332.5075021134435,7899.9550308472735,6999.692125995742,1584.6340038173244,1584.6423143210902,None,90112,14668,6.048402903135394,6.93191066564314,14704.617695768522,20986.896353090367,0.0,0
0004,16,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,2500,32,4,256,16,true,false,131072000,70000,273,false,8203,16384,external,32,8192,4096,4096,4096.0,2481,2527,3225.4293445121953,3244.7987099677493,413.4894815685841,409.43883203065485,123.16421343049441,110.5595051710339,4.544025157232705,54.801886792452834,71.227721,6.851818,1.0,1,1,31556.936,31206.768,31556.936,10053.493,10053.407,19739.315563976754,19125.495137042682,19739.315563976754,7137.834367116803,7137.773012715207,9928.71918655664,8923.5364688555,1974.9962592066163,1975.0045758780107,None,104960,21549,5.8891315579075005,6.994379239128111,14735.835785059022,31450.04727212544,0.0,0
0005,16,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,2500,32,4,256,16,true,false,131072000,80000,312,false,9375,16384,external,32,8192,4096,4096,4096.0,2023,2071,2768.354988630969,2788.6447582414744,349.0546500407576,323.87178112418457,121.8208223741956,110.49877562645418,4.667711598746082,55.92789968652038,81.304471,9.887189,1.0,1,1,36582.862,36123.035,36582.862,12111.715,12111.656,21874.75540725286,20909.8613965085,21874.75540725286,7998.404149660638,7998.344876616236,11777.558745988426,10292.617417257039,2587.604935847205,2587.6121632934546,None,120063,26373,6.077068184377171,6.818822374223033,14767.08458013336,26673.911058036818,0.0,0
0006,16,1,0,0,10,false,Straggler,60000,1,1gbit,1,Pbft,32,8,256,32,Simple,512,4096,2500,32,4,256,16,true,false,131072000,90000,351,false,10546,16384,external,32,8192,4096,4096,4096.0,1662,1710,2424.2154070801707,2440.807596248999,340.9645016549398,325.1511919723065,114.17233959548442,114.25369463902092,4.700325732899023,56.53745928338762,86.338448,6.395011,1.0,1,1,41394.267,40745.031,41394.267,10177.595,10177.531,24330.59216571543,23158.205331490157,24330.59216571543,7350.267715510376,7350.205634093783,13151.375343733607,11334.807251669168,2034.4462755769885,2034.4552962599446,None,134912,21347,5.879379054930808,7.018722311790362,15625.946855102144,33380.70880566116,0.0,0
