01:47:16.551 INF Connecting to orderer. addrStr=18.204.23.193:10154 peerId=14
01:47:16.552 INF Connecting to orderer. addrStr=44.192.40.20:10000 peerId=0
01:47:16.552 INF Connecting to orderer. addrStr=3.219.247.68:10011 peerId=1
01:47:16.553 INF Connecting to orderer. addrStr=3.235.99.7:10022 peerId=2
01:47:16.553 INF Connecting to orderer. addrStr=34.201.209.126:10033 peerId=3
01:47:16.553 INF Connecting to orderer. addrStr=18.208.200.150:10044 peerId=4
01:47:16.553 INF Connecting to orderer. addrStr=3.227.232.242:10055 peerId=5
01:47:16.553 INF Connecting to orderer. addrStr=18.234.97.11:10066 peerId=6
01:47:16.553 INF Connecting to orderer. addrStr=3.231.158.25:10077 peerId=7
01:47:16.553 INF Connecting to orderer. addrStr=44.198.185.185:10088 peerId=8
01:47:16.553 INF Connecting to orderer. addrStr=3.236.177.105:10099 peerId=9
01:47:16.553 INF Connecting to orderer. addrStr=44.202.192.40:10110 peerId=10
01:47:16.553 INF Connecting to orderer. addrStr=3.238.243.135:10121 peerId=11
01:47:16.554 INF Connecting to orderer. addrStr=44.204.209.106:10132 peerId=12
01:47:16.554 INF Connecting to orderer. addrStr=3.235.0.44:10143 peerId=13
01:47:16.554 INF Connecting to orderer. addrStr=3.239.17.123:10165 peerId=15
01:47:16.554 INF Connecting to orderer. addrStr=35.174.242.145:10176 peerId=16
01:47:17.005 INF Connected to orderer. addrStr=3.235.99.7:10022 id=2
01:47:17.023 INF Connected to orderer. addrStr=3.235.0.44:10143 id=13
01:47:17.025 INF Connected to orderer. addrStr=44.202.192.40:10110 id=10
01:47:17.035 INF Connected to orderer. addrStr=3.236.177.105:10099 id=9
01:47:17.037 INF Connected to orderer. addrStr=3.219.247.68:10011 id=1
01:47:17.042 INF Connected to orderer. addrStr=44.198.185.185:10088 id=8
01:47:17.054 INF Connected to orderer. addrStr=3.227.232.242:10055 id=5
01:47:17.057 INF Connected to orderer. addrStr=34.201.209.126:10033 id=3
01:47:17.063 INF Connected to orderer. addrStr=3.238.243.135:10121 id=11
01:47:17.071 INF Connected to orderer. addrStr=3.239.17.123:10165 id=15
01:47:17.089 INF Connected to orderer. addrStr=3.231.158.25:10077 id=7
01:47:17.091 INF Connected to orderer. addrStr=35.174.242.145:10176 id=16
01:47:17.094 INF Connected to orderer. addrStr=44.204.209.106:10132 id=12
01:47:17.096 INF Connected to orderer. addrStr=18.234.97.11:10066 id=6
01:47:17.126 INF Connected to orderer. addrStr=18.204.23.193:10154 id=14
01:47:17.126 INF Connected to orderer. addrStr=44.192.40.20:10000 id=0
01:47:17.129 INF Connected to orderer. addrStr=18.208.200.150:10044 id=4
01:47:17.130 INF Connected to orderers.
01:47:17.130 INF Non crashing node count. count=17
01:47:17.130 INF Updating bucket assignment. epoch=0
01:47:17.131 INF Resubmitted Requests. epoch=0 n=0
01:47:17.131 INF Setting up client timeout. clientRunTime=30000
01:47:17.131 INF Starting to submit requests. numRequests=7031
01:47:31.886 INF Request finished (out of order). clSeqNr=13
01:47:31.886 INF Request finished (out of order). clSeqNr=29
01:47:31.886 INF Request finished (out of order). clSeqNr=45
01:47:31.886 INF Request finished (out of order). clSeqNr=61
01:47:31.886 INF Request finished (out of order). clSeqNr=77
01:47:31.966 INF Request finished (out of order). clSeqNr=93
01:47:31.966 INF Request finished (out of order). clSeqNr=109
01:47:32.621 INF Request finished (out of order). clSeqNr=6
01:47:32.621 INF Request finished (out of order). clSeqNr=22
01:47:32.621 INF Request finished (out of order). clSeqNr=38
01:47:32.621 INF Request finished (out of order). clSeqNr=54
01:47:32.621 INF Request finished (out of order). clSeqNr=70
01:47:32.621 INF Request finished (out of order). clSeqNr=86
01:47:32.621 INF Request finished (out of order). clSeqNr=102
01:47:32.621 INF Request finished (out of order). clSeqNr=118
01:47:32.621 INF Request finished (out of order). clSeqNr=11
01:47:32.621 INF Request finished (out of order). clSeqNr=27
01:47:32.621 INF Request finished (out of order). clSeqNr=43
01:47:32.621 INF Request finished (out of order). clSeqNr=59
01:47:32.621 INF Request finished (out of order). clSeqNr=75
01:47:32.621 INF Request finished (out of order). clSeqNr=91
01:47:32.621 INF Request finished (out of order). clSeqNr=107
01:47:32.651 INF Request finished (out of order). clSeqNr=0
01:47:32.651 INF Request delivered (in order). clSeqNr=0
01:47:32.651 INF Request finished (out of order). clSeqNr=16
01:47:32.675 INF Request finished (out of order). clSeqNr=32
01:47:32.675 INF Request finished (out of order). clSeqNr=48
01:47:32.675 INF Request finished (out of order). clSeqNr=64
01:47:32.675 INF Request finished (out of order). clSeqNr=80
01:47:32.719 INF Request finished (out of order). clSeqNr=96
01:47:32.719 INF Request finished (out of order). clSeqNr=112
01:47:32.719 INF Request finished (out of order). clSeqNr=1
01:47:32.719 INF Request delivered (in order). clSeqNr=1
01:47:32.719 INF Request finished (out of order). clSeqNr=17
01:47:32.719 INF Request finished (out of order). clSeqNr=33
01:47:32.719 INF Request finished (out of order). clSeqNr=49
01:47:32.719 INF Request finished (out of order). clSeqNr=65
01:47:32.719 INF Request finished (out of order). clSeqNr=81
01:47:32.719 INF Request finished (out of order). clSeqNr=97
01:47:32.719 INF Request finished (out of order). clSeqNr=113
01:47:32.719 INF Request finished (out of order). clSeqNr=5
01:47:32.719 INF Request finished (out of order). clSeqNr=21
01:47:32.719 INF Request finished (out of order). clSeqNr=37
01:47:32.719 INF Request finished (out of order). clSeqNr=53
01:47:32.719 INF Request finished (out of order). clSeqNr=69
01:47:32.719 INF Request finished (out of order). clSeqNr=85
01:47:32.719 INF Request finished (out of order). clSeqNr=101
01:47:32.719 INF Request finished (out of order). clSeqNr=117
01:47:33.260 INF Request finished (out of order). clSeqNr=4
01:47:33.260 INF Request finished (out of order). clSeqNr=20
01:47:33.260 INF Request finished (out of order). clSeqNr=36
01:47:33.260 INF Request finished (out of order). clSeqNr=52
01:47:33.260 INF Request finished (out of order). clSeqNr=68
