exp,peers,nlr,failures,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,4,1,0,0,Straggler,60000,1,1gbit,4,Pbft,1,1,1,256,Simple,1024,2048,1000,32,1,64,16,true,false,131072000,128,128,false,3840,4194304,external,32,8192,32,32,32.0,-1,5332,6822.165803108808,6505.415094339623,1816.145306535103,3284.090018172475,17.04924007008303,19.957510460230168,0.75,4.0,15.01306,4.012659,0.0,0,0,963.518,963.376,963.518,956.344,956.183,515.7918756476683,515.5623834196891,515.7918756476683,507.778875,507.4958125,290.11260320900095,289.9927936988588,290.9734132469074,290.7686666618559,None,193,64,4.26130594378938,5.321811611195096,128.55473834115097,159.4952374472887,0.0,0
0001,4,1,0,0,Straggler,60000,1,1gbit,4,Pbft,1,1,1,256,Simple,1024,2048,1000,32,1,64,16,true,false,131072000,256,256,false,7680,4194304,external,32,8192,64,65,64.125,-3946,2502,2964.7324675324676,2907.132075471698,1336.662796237015,1940.2015412026594,17.048467995363882,19.870548345168313,1.125,5.09375,15.014953,4.030896,0.0,0,0,969.783,965.808,969.783,964.66,964.22,524.2157948051948,523.9083766233766,524.2157948051948,521.2503046875,520.998421875,289.4295204047002,289.18096264254814,289.83496051712183,289.66839781691857,None,385,128,4.261285231590532,5.321131977708448,256.411059028956,317.54726492571376,0.0,0
0002,4,1,0,0,Straggler,60000,1,1gbit,4,Pbft,1,1,1,256,Simple,1024,2048,1000,32,1,64,16,true,false,131072000,512,512,false,15360,4194304,external,32,8192,128,129,128.125,-16845,-3703,571.1508452535761,828.2714285714286,4200.20693570411,2101.1707166528568,17.035974654728708,16.963503023245487,2.25,9.40625,15.009425,4.04035,0.0,0,0,977.148,973.146,977.148,982.399,981.203,529.707200260078,529.1808010403121,529.707200260078,528.57768359375,528.24794921875,288.3086545432799,287.7557091475938,288.7908916940569,288.5133088486176,None,769,256,4.258332258769802,5.313423933853185,512.344743386239,633.6084745133467,0.0,0
0003,4,1,0,0,Straggler,60000,1,1gbit,4,Pbft,1,1,1,256,Simple,1024,2048,1000,32,1,64,16,true,false,131072000,1024,1024,false,30720,4194304,external,32,8192,256,257,257.0,-132211,-40590,-5019.972691807542,-4251.710526315789,20648.849868186095,12976.371448011634,17.028332484577387,17.30971003021039,2.75,12.09375,15.02559,4.021268,0.0,0,0,1057.305,1053.866,1057.305,1061.56,1060.826,594.4244596879063,591.4924980494148,594.4244596879063,593.3954134199134,589.3439545454546,292.2238769125004,289.40115274283187,294.36500242954315,290.5081922971189,None,1538,462,4.253144785222502,5.2972975836377065,1023.5870937513935,1148.891344720123,0.0,0
0004,4,1,0,0,Straggler,60000,1,1gbit,4,Pbft,1,1,1,256,Simple,1024,2048,1000,32,1,64,16,true,false,131072000,2048,2048,false,61440,4194304,external,32,8192,509,519,514.0,-224485,-88275,-24488.72854356307,-10508.830324909748,50501.865860107646,25546.149752265053,17.018521269993855,18.662763857102163,3.15625,15.0625,15.029541,4.05353,0.0,0,0,1227.963,1226.829,1227.963,1231.685,1229.884,675.7022379713915,668.4974824447334,675.7022379713915,681.743806741573,677.0076067415731,314.8898841920702,312.96257427172947,316.86665050732785,315.1152422506763,None,3076,890,4.250491280416001,5.309044454951929,2046.6360216855592,2195.617153444035,0.0,0
