18:27:19.874 INF Connecting to orderer. addrStr=54.206.81.94:10165 peerId=15
18:27:19.875 INF Connecting to orderer. addrStr=18.119.105.103:10000 peerId=0
18:27:19.875 INF Connecting to orderer. addrStr=18.119.113.171:10011 peerId=1
18:27:19.875 INF Connecting to orderer. addrStr=18.118.205.126:10022 peerId=2
18:27:19.875 INF Connecting to orderer. addrStr=18.221.13.60:10033 peerId=3
18:27:19.875 INF Connecting to orderer. addrStr=15.188.50.228:10044 peerId=4
18:27:19.875 INF Connecting to orderer. addrStr=13.38.230.151:10055 peerId=5
18:27:19.875 INF Connecting to orderer. addrStr=13.39.106.23:10066 peerId=6
18:27:19.876 INF Connecting to orderer. addrStr=35.180.189.220:10077 peerId=7
18:27:19.876 INF Connecting to orderer. addrStr=54.238.182.137:10088 peerId=8
18:27:19.876 INF Connecting to orderer. addrStr=13.115.31.146:10099 peerId=9
18:27:19.876 INF Connecting to orderer. addrStr=43.207.73.0:10110 peerId=10
18:27:19.876 INF Connecting to orderer. addrStr=52.68.163.140:10121 peerId=11
18:27:19.876 INF Connecting to orderer. addrStr=3.25.111.125:10132 peerId=12
18:27:19.876 INF Connecting to orderer. addrStr=52.63.52.28:10143 peerId=13
18:27:19.876 INF Connecting to orderer. addrStr=54.252.6.148:10154 peerId=14
18:27:19.901 INF Connected to orderer. addrStr=43.207.73.0:10110 id=10
18:27:19.929 INF Connected to orderer. addrStr=13.115.31.146:10099 id=9
18:27:19.930 INF Connected to orderer. addrStr=52.68.163.140:10121 id=11
18:27:19.933 INF Connected to orderer. addrStr=54.238.182.137:10088 id=8
18:27:20.384 INF Connected to orderer. addrStr=54.206.81.94:10165 id=15
18:27:20.385 INF Connected to orderer. addrStr=54.252.6.148:10154 id=14
18:27:20.417 INF Connected to orderer. addrStr=3.25.111.125:10132 id=12
18:27:20.469 INF Connected to orderer. addrStr=52.63.52.28:10143 id=13
18:27:20.537 INF Connected to orderer. addrStr=18.119.113.171:10011 id=1
18:27:20.540 INF Connected to orderer. addrStr=18.119.105.103:10000 id=0
18:27:20.555 INF Connected to orderer. addrStr=18.221.13.60:10033 id=3
18:27:20.575 INF Connected to orderer. addrStr=18.118.205.126:10022 id=2
18:27:20.973 INF Connected to orderer. addrStr=13.38.230.151:10055 id=5
18:27:20.974 INF Connected to orderer. addrStr=35.180.189.220:10077 id=7
18:27:20.980 INF Connected to orderer. addrStr=15.188.50.228:10044 id=4
18:27:20.984 INF Connected to orderer. addrStr=13.39.106.23:10066 id=6
18:27:20.985 INF Connected to orderers.
18:27:20.985 INF Non crashing node count. count=16
18:27:20.985 INF Updating bucket assignment. epoch=0
18:27:20.985 INF Resubmitted Requests. epoch=0 n=0
18:27:20.986 INF Setting up client timeout. clientRunTime=15000
18:27:20.986 INF Starting to submit requests. numRequests=3515
18:27:23.140 INF Request finished (out of order). clSeqNr=97
18:27:23.142 INF Request finished (out of order). clSeqNr=1
18:27:23.142 INF Request finished (out of order). clSeqNr=17
18:27:23.142 INF Request finished (out of order). clSeqNr=33
18:27:23.142 INF Request finished (out of order). clSeqNr=49
18:27:23.143 INF Request finished (out of order). clSeqNr=65
18:27:23.143 INF Request finished (out of order). clSeqNr=81
18:27:23.144 INF Request finished (out of order). clSeqNr=98
18:27:23.145 INF Request finished (out of order). clSeqNr=2
18:27:23.145 INF Request finished (out of order). clSeqNr=18
18:27:23.145 INF Request finished (out of order). clSeqNr=34
18:27:23.145 INF Request finished (out of order). clSeqNr=50
18:27:23.184 INF Request finished (out of order). clSeqNr=66
18:27:23.184 INF Request finished (out of order). clSeqNr=82
18:27:23.184 INF Request finished (out of order). clSeqNr=99
18:27:23.184 INF Request finished (out of order). clSeqNr=3
18:27:23.184 INF Request finished (out of order). clSeqNr=19
18:27:23.184 INF Request finished (out of order). clSeqNr=35
18:27:23.184 INF Request finished (out of order). clSeqNr=51
18:27:23.184 INF Request finished (out of order). clSeqNr=67
18:27:23.184 INF Request finished (out of order). clSeqNr=83
18:27:23.184 INF Request finished (out of order). clSeqNr=4
18:27:23.184 INF Request finished (out of order). clSeqNr=20
18:27:23.184 INF Request finished (out of order). clSeqNr=36
18:27:23.184 INF Request finished (out of order). clSeqNr=52
18:27:23.184 INF Request finished (out of order). clSeqNr=68
18:27:23.184 INF Request finished (out of order). clSeqNr=84
18:27:23.800 INF Request finished (out of order). clSeqNr=5
18:27:23.800 INF Request finished (out of order). clSeqNr=21
18:27:23.800 INF Request finished (out of order). clSeqNr=37
18:27:23.801 INF Request finished (out of order). clSeqNr=53
18:27:23.801 INF Request finished (out of order). clSeqNr=69
18:27:23.801 INF Request finished (out of order). clSeqNr=85
18:27:23.804 INF Request finished (out of order). clSeqNr=6
18:27:23.804 INF Request finished (out of order). clSeqNr=22
18:27:23.804 INF Request finished (out of order). clSeqNr=38
18:27:23.804 INF Request finished (out of order). clSeqNr=54
18:27:23.805 INF Request finished (out of order). clSeqNr=70
18:27:23.805 INF Request finished (out of order). clSeqNr=86
18:27:23.807 INF Request finished (out of order). clSeqNr=7
18:27:23.807 INF Request finished (out of order). clSeqNr=23
18:27:23.808 INF Request finished (out of order). clSeqNr=39
18:27:23.808 INF Request finished (out of order). clSeqNr=55
18:27:23.808 INF Request finished (out of order). clSeqNr=71
18:27:23.809 INF Request finished (out of order). clSeqNr=87
18:27:23.810 INF Request finished (out of order). clSeqNr=8
18:27:23.811 INF Request finished (out of order). clSeqNr=24
18:27:23.811 INF Request finished (out of order). clSeqNr=40
18:27:23.812 INF Request finished (out of order). clSeqNr=56
18:27:23.812 INF Request finished (out of order). clSeqNr=72
18:27:23.813 INF Request finished (out of order). clSeqNr=88
18:27:23.818 INF Request finished (out of order). clSeqNr=105
18:27:23.858 INF Request finished (out of order). clSeqNr=9
18:27:23.868 INF Request finished (out of order). clSeqNr=25
18:27:23.868 INF Request finished (out of order). clSeqNr=41
18:27:23.868 INF Request finished (out of order). clSeqNr=57
18:27:23.868 INF Request finished (out of order). clSeqNr=73
18:27:23.868 INF Request finished (out of order). clSeqNr=89
18:27:23.868 INF Request finished (out of order). clSeqNr=106
18:27:23.868 INF Request finished (out of order). clSeqNr=10
18:27:23.868 INF Request finished (out of order). clSeqNr=26
18:27:23.868 INF Request finished (out of order). clSeqNr=42
18:27:23.868 INF Request finished (out of order). clSeqNr=58
18:27:23.868 INF Request finished (out of order). clSeqNr=74
18:27:23.868 INF Request finished (out of order). clSeqNr=90
18:27:23.868 INF Request finished (out of order). clSeqNr=107
18:27:23.868 INF Request finished (out of order). clSeqNr=11
18:27:23.868 INF Request finished (out of order). clSeqNr=27
18:27:23.868 INF Request finished (out of order). clSeqNr=43
18:27:23.868 INF Request finished (out of order). clSeqNr=59
18:27:23.868 INF Request finished (out of order). clSeqNr=75
18:27:23.868 INF Request finished (out of order). clSeqNr=91
18:27:23.868 INF Request finished (out of order). clSeqNr=108
18:27:23.868 INF Request finished (out of order). clSeqNr=12
18:27:23.868 INF Request finished (out of order). clSeqNr=28
18:27:23.868 INF Request finished (out of order). clSeqNr=44
18:27:23.868 INF Request finished (out of order). clSeqNr=60
18:27:23.868 INF Request finished (out of order). clSeqNr=76
18:27:23.868 INF Request finished (out of order). clSeqNr=92
18:27:23.868 INF Request finished (out of order). clSeqNr=109
18:27:23.868 INF Request finished (out of order). clSeqNr=13
18:27:23.868 INF Request finished (out of order). clSeqNr=29
18:27:23.868 INF Request finished (out of order). clSeqNr=45
18:27:23.871 INF Request finished (out of order). clSeqNr=61
18:27:23.872 INF Request finished (out of order). clSeqNr=77
18:27:23.872 INF Request finished (out of order). clSeqNr=93
18:27:23.934 INF Request finished (out of order). clSeqNr=110
18:27:23.935 INF Request finished (out of order). clSeqNr=14
18:27:23.935 INF Request finished (out of order). clSeqNr=30
18:27:23.935 INF Request finished (out of order). clSeqNr=46
18:27:23.935 INF Request finished (out of order). clSeqNr=62
18:27:23.935 INF Request finished (out of order). clSeqNr=78
18:27:23.935 INF Request finished (out of order). clSeqNr=94
18:27:23.935 INF Request finished (out of order). clSeqNr=111
18:27:23.935 INF Request finished (out of order). clSeqNr=15
