exp,peers,nlr,failures,numStraggler,numPrivCnt,UseSig,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,8,1,0,1,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,30000,117,false,3515,16384,external,32,8192,3743,3853,3758.5434782608695,7378,7406,8023.972256747159,8070.721463546664,694.6593856289668,342.3507508225501,94.50711481842487,66.91582839349248,4.695238095238095,61.766666666666666,58.798161,11.365038,1.0,1,1,51936.049,24046.923,51936.049,11111.839,11111.802,12785.798744096237,9207.731770751952,12785.798744096237,4123.499701065247,6403.810173706046,14553.174336427173,6041.480456889314,3021.2549195517486,3021.252682262666,None,45056,29406,5.807794235757584,7.523269390449995,7662.824692765476,12838.308006736437,0.0,0
0001,8,1,0,1,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,40000,156,false,4687,16384,external,32,8192,4096,4096,4054.626262626263,5240,5268,5921.736170212766,5948.929990152543,653.8419407677462,518.1178446025871,88.62032748523136,65.75875188510973,4.7894736842105265,69.08612440191388,70.757464,12.029825,1.0,1,1,56141.213,24077.728,56141.213,11264.874,11264.828,14201.159234890294,10610.796793766622,14201.159234890294,6818.017473371896,7167.8978112959085,15317.858871776829,6829.971187664702,2629.3801299653696,2629.378475340761,5.666666666666667,60160,34933,6.6433960886114685,7.60479055715461,8502.283236154422,17371.78132830631,0.0,0
0002,8,1,0,1,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,50000,195,false,5859,16384,external,32,8192,4096,4096,4054.626262626263,3968,3988,4680.374880012799,4697.665542182874,456.7474794957446,337.55858901019104,88.82685856936483,63.140686110553496,5.4485981308411215,71.18691588785046,71.14061,12.114342,1.0,1,1,58209.054,24100.346,58209.054,11805.296,11805.247,16149.197550941233,12528.892714563779,16149.197550941233,10993.768588185889,8468.945331911726,15476.995880764467,6935.363996946534,2211.510790225601,2211.509237477931,None,75008,34937,6.724481990041251,7.594829501447775,10543.62620730972,21644.697494923184,0.0,0
0003,8,1,0,1,10,false,Straggler,60000,1,1gbit,2,Pbft,32,8,256,64,Simple,512,4096,1000,32,2,128,16,true,false,131072000,60000,234,false,7031,16384,external,32,8192,4096,4096,4054.626262626263,3115,3135,3853.1864124644885,3866.491487651615,396.69454188514806,304.66888534401596,84.06947905169487,63.75043259222116,5.875576036866359,73.88940092165899,83.854982,12.116752,1.0,1,1,60350.617,35976.727,60350.617,11820.958,11820.877,18694.513068869852,14985.924698253286,18694.513068869852,13917.82301461482,9109.906682495131,15926.117688189574,7643.928222628277,1889.4317540845816,1889.4298723417267,None,90112,34916,7.124711570359896,7.602700387023527,10746.171288904456,25342.80022502935,0.0,0
