10:24:08.749 INF Connecting to orderer. addrStr=18.212.196.118:10033 peerId=3
10:24:08.749 INF Connecting to orderer. addrStr=44.211.208.80:10000 peerId=0
10:24:08.750 INF Connecting to orderer. addrStr=3.87.51.178:10011 peerId=1
10:24:08.750 INF Connecting to orderer. addrStr=3.85.146.50:10022 peerId=2
10:24:08.754 INF Connected to orderer. addrStr=18.212.196.118:10033 id=3
10:24:08.755 INF Connected to orderer. addrStr=3.85.146.50:10022 id=2
10:24:08.755 INF Connected to orderer. addrStr=3.87.51.178:10011 id=1
10:24:08.755 INF Connected to orderer. addrStr=44.211.208.80:10000 id=0
10:24:08.827 INF Connected to orderers.
10:24:08.839 INF Updating bucket assignment. epoch=0
10:24:08.839 INF Resubmitted Requests. epoch=0 n=0
10:24:08.841 INF Setting up client timeout. clientRunTime=15000
10:24:08.841 INF Starting to submit requests. numRequests=30720
10:24:09.858 INF Request finished (out of order). clSeqNr=0
10:24:09.858 INF Request delivered (in order). clSeqNr=0
10:24:09.858 INF Request finished (out of order). clSeqNr=64
10:24:09.858 INF Request finished (out of order). clSeqNr=128
10:24:09.858 INF Request finished (out of order). clSeqNr=192
10:24:09.858 INF Request finished (out of order). clSeqNr=256
10:24:09.858 INF Request finished (out of order). clSeqNr=320
10:24:09.858 INF Request finished (out of order). clSeqNr=384
10:24:09.859 INF Request finished (out of order). clSeqNr=448
10:24:09.859 INF Request finished (out of order). clSeqNr=512
10:24:09.859 INF Request finished (out of order). clSeqNr=576
10:24:09.859 INF Request finished (out of order). clSeqNr=640
10:24:09.859 INF Request finished (out of order). clSeqNr=704
10:24:09.859 INF Request finished (out of order). clSeqNr=768
10:24:09.859 INF Request finished (out of order). clSeqNr=832
10:24:09.859 INF Request finished (out of order). clSeqNr=4
10:24:09.859 INF Request finished (out of order). clSeqNr=68
10:24:09.859 INF Request finished (out of order). clSeqNr=132
10:24:09.859 INF Request finished (out of order). clSeqNr=196
10:24:09.859 INF Request finished (out of order). clSeqNr=260
10:24:09.859 INF Request finished (out of order). clSeqNr=324
10:24:09.859 INF Request finished (out of order). clSeqNr=388
10:24:09.859 INF Request finished (out of order). clSeqNr=452
10:24:09.859 INF Request finished (out of order). clSeqNr=516
10:24:09.859 INF Request finished (out of order). clSeqNr=580
10:24:09.859 INF Request finished (out of order). clSeqNr=644
10:24:09.859 INF Request finished (out of order). clSeqNr=708
10:24:09.859 INF Request finished (out of order). clSeqNr=772
10:24:09.859 INF Request finished (out of order). clSeqNr=836
10:24:09.859 INF Request finished (out of order). clSeqNr=8
10:24:09.859 INF Request finished (out of order). clSeqNr=72
10:24:09.859 INF Request finished (out of order). clSeqNr=136
10:24:09.859 INF Request finished (out of order). clSeqNr=200
10:24:09.859 INF Request finished (out of order). clSeqNr=264
10:24:09.859 INF Request finished (out of order). clSeqNr=328
10:24:09.859 INF Request finished (out of order). clSeqNr=392
10:24:09.859 INF Request finished (out of order). clSeqNr=456
10:24:09.859 INF Request finished (out of order). clSeqNr=520
